"","Year","Geo Level","State","State ANSI","organic_detail","Category","measurement","Value","CV (%)"
"1",2021,"NATIONAL","US TOTAL",NA,NA,"ACRES HARVESTED",NA,"5,301","43.5"
"2",2021,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH AREA HARVESTED",NA,"546","6.3"
"3",2021,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH SALES",NA,"546","6.3"
"4",2021,"NATIONAL","US TOTAL",NA,NA,"PRODUCTION"," CWT","1,495,299","51.2"
"5",2021,"NATIONAL","US TOTAL",NA,NA,"SALES"," $","335,964,420","45.7"
"6",2021,"NATIONAL","US TOTAL",NA,NA,"SALES"," CWT","1,494,673","51.3"
"7",2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","OPERATIONS WITH SALES",NA,"540","6.3"
"8",2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES"," $","(D)","(D)"
"9",2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES"," CWT","1,483,234","50.3"
"10",2021,"NATIONAL","US TOTAL",NA,"PROCESSING","OPERATIONS WITH SALES",NA,"18","24.9"
"11",2021,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES"," $","(D)","(D)"
"12",2021,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES"," CWT","11,440","(H)"
"13",2021,"STATE","ALASKA","02",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"14",2021,"STATE","ALASKA","02",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","(H)"
"15",2021,"STATE","ALASKA","02",NA,"OPERATIONS WITH SALES",NA,"2","(H)"
"16",2021,"STATE","ALASKA","02",NA,"PRODUCTION"," CWT","(D)","(D)"
"17",2021,"STATE","ALASKA","02",NA,"SALES"," $","(D)","(D)"
"18",2021,"STATE","ALASKA","02",NA,"SALES"," CWT","(D)","(D)"
"19",2021,"STATE","ALASKA","02","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","(H)"
"20",2021,"STATE","ALASKA","02","FRESH MARKET","SALES"," $","(D)","(D)"
"21",2021,"STATE","ALASKA","02","FRESH MARKET","SALES"," CWT","(D)","(D)"
"22",2021,"STATE","CALIFORNIA","06",NA,"ACRES HARVESTED",NA,"4,228","45.7"
"23",2021,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH AREA HARVESTED",NA,"142","19.2"
"24",2021,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH SALES",NA,"142","19.2"
"25",2021,"STATE","CALIFORNIA","06",NA,"PRODUCTION"," CWT","1,413,251","51.6"
"26",2021,"STATE","CALIFORNIA","06",NA,"SALES"," $","311,784,980","46.0"
"27",2021,"STATE","CALIFORNIA","06",NA,"SALES"," CWT","1,412,627","51.7"
"28",2021,"STATE","CALIFORNIA","06","FRESH MARKET","OPERATIONS WITH SALES",NA,"141","20.4"
"29",2021,"STATE","CALIFORNIA","06","FRESH MARKET","SALES"," $","(D)","(D)"
"30",2021,"STATE","CALIFORNIA","06","FRESH MARKET","SALES"," CWT","1,401,384","50.6"
"31",2021,"STATE","CALIFORNIA","06","PROCESSING","OPERATIONS WITH SALES",NA,"7","60.0"
"32",2021,"STATE","CALIFORNIA","06","PROCESSING","SALES"," $","(D)","(D)"
"33",2021,"STATE","CALIFORNIA","06","PROCESSING","SALES"," CWT","11,244","(H)"
"34",2021,"STATE","CONNECTICUT","09",NA,"ACRES HARVESTED",NA,"3","(H)"
"35",2021,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH AREA HARVESTED",NA,"8","74.4"
"36",2021,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH SALES",NA,"8","74.4"
"37",2021,"STATE","CONNECTICUT","09",NA,"PRODUCTION"," CWT","183","(H)"
"38",2021,"STATE","CONNECTICUT","09",NA,"SALES"," $","40,890","(H)"
"39",2021,"STATE","CONNECTICUT","09",NA,"SALES"," CWT","183","(H)"
"40",2021,"STATE","CONNECTICUT","09","FRESH MARKET","OPERATIONS WITH SALES",NA,"8","74.4"
"41",2021,"STATE","CONNECTICUT","09","FRESH MARKET","SALES"," $","40,890","(H)"
"42",2021,"STATE","CONNECTICUT","09","FRESH MARKET","SALES"," CWT","183","(H)"
"43",2021,"STATE","FLORIDA","12",NA,"ACRES HARVESTED",NA,"704","99.8"
"44",2021,"STATE","FLORIDA","12",NA,"OPERATIONS WITH AREA HARVESTED",NA,"10","57.3"
"45",2021,"STATE","FLORIDA","12",NA,"OPERATIONS WITH SALES",NA,"10","57.3"
"46",2021,"STATE","FLORIDA","12",NA,"PRODUCTION"," CWT","67,146","(H)"
"47",2021,"STATE","FLORIDA","12",NA,"SALES"," $","18,358,396","(H)"
"48",2021,"STATE","FLORIDA","12",NA,"SALES"," CWT","67,146","(H)"
"49",2021,"STATE","FLORIDA","12","FRESH MARKET","OPERATIONS WITH SALES",NA,"10","57.3"
"50",2021,"STATE","FLORIDA","12","FRESH MARKET","SALES"," $","18,358,396","(H)"
