"","Year","State","State ANSI","category","measurement","Value","use","chemical_name","chemical_num"
"1",2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
"2",2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
"3",2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(D)"," INSECTICIDE","PERMETHRIN",109701
"4",2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(NA)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
"5",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
"6",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
"7",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
"8",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
"9",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
"10",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
"11",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
"12",2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(NA)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
"13",2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
"14",2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
"15",2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
"16",2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
"17",2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
"18",2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
"19",2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
"20",2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
"21",2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,300"," FUNGICIDE","AZOXYSTROBIN",128810
